"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 08:57:33.995000+00:00","2019-09-01 09:04:25.731000+00:00","411","1039","Lothian Road","Outside the Usher Hall","55.947409199207115","-3.2057654971365537","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 09:00:28.378000+00:00","2019-09-01 09:37:42.312000+00:00","2233","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","296","Castle Terrace","Corner of Castle Terrace and Lady Lawson St","55.94676648672239","-3.2020378290551434"
"2019-09-01 09:00:52.973000+00:00","2019-09-01 09:33:54.121000+00:00","1981","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005"
"2019-09-01 09:00:53.425000+00:00","2019-09-01 09:34:08.391000+00:00","1994","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005"
"2019-09-01 09:00:55.151000+00:00","2019-09-01 09:34:24.689000+00:00","2009","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005"
"2019-09-01 09:14:44.687000+00:00","2019-09-01 09:24:23.257000+00:00","578","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","189","City Chambers","City Chambers Quadrangle","55.95010933017899","-3.190257770093808"
"2019-09-01 09:14:45.013000+00:00","2019-09-01 11:10:42.115000+00:00","6957","290","Bruntsfield links","Corner of Bruntsfield Terrace and Bruntsfield Place","55.93715871276677","-3.206435329645956","341","Warrender Park Road","Corner of Warrender Park Road & Spottiswoode Street","55.938363058645024","-3.198031182386103"
"2019-09-01 09:16:07.888000+00:00","2019-09-01 09:33:34.659000+00:00","1046","225","Waverley Court","On Waverley Court forecourt","55.95173449698344","-3.1841785354060903","866","Comely Bank Road","Between trees on Comely Bank Road","55.95940686974708","-3.2156598206622675"
"2019-09-01 09:21:16.917000+00:00","2019-09-01 09:29:32.855000+00:00","495","355","Inverleith Row","Corner of Inverleith Row & Inverleith Terrace","55.964145597867244","-3.2020735606114386","1038","South Trinity Road","Corner of South Trinity Road and Ferry Road","55.97132539148155","-3.207963567424258"
"2019-09-01 09:27:30.031000+00:00","2019-09-01 10:11:30.053000+00:00","2640","1038","South Trinity Road","Corner of South Trinity Road and Ferry Road","55.97132539148155","-3.207963567424258","264","Pollock Halls","Pollock Halls Entrance","55.939963469723715","-3.1715859343115653"
